date,meantemp,humidity,wind_speed,meanpressure,,,,,,
01/01/2013,10,84.5,0,1015.67,,,,,,
02/01/2013,7.4,92,2.98,1017.8,,,,,,
03/01/2013,7.17,87,4.63,1018.67,,,,,,
04/01/2013,8.67,71.33,1.23,1017.17,,,,,,
05/01/2013,6,86.83,3.7,1016.5,,,,,,
06/01/2013,7,82.8,1.48,1018,,,,,,
07/01/2013,7,78.6,6.3,1020,,,,,,
08/01/2013,8.86,63.71,7.14,1018.71,,,,,,
09/01/2013,14,51.25,12.5,1017,,HIGHEST,38.71,100,42.22,7679.33
10/01/2013,11,62,7.4,1015.67,,,,,,
11/01/2013,15.71,51.29,10.57,1016.14,,LOWEST,6,13.43,0,-3.04
12/01/2013,14,74,13.23,1015.57,,,,,,
13/01/2013,15.83,75.17,4.63,1013.33,,AVERAGE,25.22180838,,,
14/01/2013,12.83,88.17,0.62,1015.17,,,,,,
15/01/2013,14.71,71.86,0.53,1015.86,,,,,,
16/01/2013,13.83,86.67,0,1016.67,,,,,,
17/01/2013,16.5,80.83,5.25,1015.83,,,,,,
18/01/2013,13.83,92.17,8.95,1014.5,,,,,,
19/01/2013,12.5,76.67,5.88,1021.67,,,,,,
20/01/2013,11.29,75.29,8.47,1020.29,,,,,,
21/01/2013,11.2,77,2.22,1021,,,,,,
22/01/2013,9.5,79.67,3.08,1021.8,,,,,,
23/01/2013,14,60.17,4.02,1020.5,,,,,,
24/01/2013,13.83,60.67,6.17,1020.5,,,,,,
25/01/2013,12.25,67,5.55,1020.75,,,,,,
26/01/2013,12.67,64.17,6.8,1019.67,,,,,,
27/01/2013,12.86,65.57,5.56,1018.14,,,,,,
28/01/2013,14.83,56,3.7,1017.83,,,,,,
29/01/2013,14.12,65.5,3.24,1016.62,,,,,,
30/01/2013,14.71,70.43,1.06,1017.86,,,,,,
31/01/2013,16.2,65.6,2.96,1018.4,,,,,,
01/02/2013,16,73,2.22,1016,,,,,,
02/02/2013,16.29,77.57,1.33,1017.14,,,,,,
03/02/2013,18,65.57,1.86,1015.29,,,,,,
04/02/2013,17.43,74.29,11.11,1014.57,,,,,,
05/02/2013,16.62,92.38,9.73,1016.38,,,,,,
06/02/2013,16.67,71.33,8.63,1018.67,,,,,,
07/02/2013,15.6,59.4,10.74,1018.6,,,,,,
08/02/2013,14,70.43,9.26,1017.14,,,,,,
09/02/2013,15.43,61.29,9.26,1016.86,,,,,,
10/02/2013,15.25,71.5,3.47,1017.12,,,,,,
11/02/2013,15.88,70.5,5.32,1016.5,,,,,,
12/02/2013,15.33,70.33,7.42,1017.5,,,,,,
13/02/2013,16.29,70.14,6.09,1016,,,,,,
14/02/2013,17.33,63.83,4.33,1014.17,,,,,,
15/02/2013,19.17,65.33,10.18,1011.67,,,,,,
16/02/2013,14.43,92.71,8.49,1008,,,,,,
17/02/2013,13.67,90,0,1012.67,,,,,,
18/02/2013,15.6,78.4,12.22,1016.2,,,,,,
19/02/2013,15.86,82,5.81,1015.71,,,,,,
20/02/2013,17.71,74.71,5.81,1017,,,,,,
21/02/2013,20,67.29,6.61,1015.43,,,,,,
22/02/2013,20.5,65.62,10.88,1016,,,,,,
23/02/2013,17.43,74.86,9.26,1017,,,,,,
24/02/2013,16.86,78.86,7.4,1018.86,,,,,,
